v110	v90	v70	v50	v20
-32.08	-7.41	-0.20	9.81	-0.05
-31.25	-6.04	-0.66	5.98	0.32
-29.42	-6.48	-1.67	4.15	-0.06
-29.10	-6.58	-1.47	4.84	0.03
-29.24	-7.94	-0.39	6.10	0.32
-27.22	-10.07	-0.85	10.92	0.13
-19.62	-11.88	-1.36	11.96	0.36
-15.45	-13.57	-0.17	11.59	0.00
-12.76	-13.73	0.78	6.51	-0.17
-14.38	-12.12	1.89	4.72	0.33
-16.28	-8.83	1.19	2.70	0.08
-11.57	-8.75	0.70	6.46	0.36
-4.95	-11.65	-0.88	5.22	0.36
-6.52	-11.87	-0.89	7.10	-0.01
-3.78	-10.37	-1.53	7.17	-0.07
-2.50	-14.05	-0.01	8.92	0.24
0.15	-19.35	1.67	8.70	0.08
3.47	-21.44	1.72	5.59	0.20
8.42	-26.71	1.37	8.01	0.56
13.20	-24.23	0.01	7.15	0.53
13.84	-20.40	-0.84	9.83	0.01
11.20	-19.35	0.29	11.47	-0.09
11.18	-20.13	0.87	5.62	-0.06
10.22	-20.31	2.49	12.41	0.08
8.40	-22.98	2.10	12.94	0.22
13.01	-28.34	1.79	10.23	0.58
16.97	-33.80	2.50	9.72	0.29
19.77	-31.62	2.59	9.72	0.47
19.27	-31.72	2.54	2.79	-0.26
15.55	-30.46	2.08	9.94	0.27
17.44	-31.95	3.20	16.14	0.25
16.79	-32.87	3.39	12.23	0.09
14.91	-28.95	3.29	17.10	-0.28
17.29	-25.97	3.93	10.54	0.44
19.84	-28.20	4.07	7.51	0.41
20.38	-30.04	3.01	5.69	0.17
18.17	-35.29	4.35	6.52	0.42
19.59	-35.47	4.79	12.41	0.73
22.02	-34.84	4.45	15.64	0.38
19.67	-31.74	5.67	17.33	0.93
16.55	-31.25	5.37	15.69	0.55
15.36	-30.27	5.90	12.02	0.41
14.58	-29.68	5.20	8.93	0.35
13.76	-30.72	4.69	-0.33	0.13
13.17	-34.38	4.30	-33.71	0.65
13.95	-33.82	5.25	-71.35	1.26
13.17	-33.77	6.51	-87.91	1.03
12.60	-30.96	7.35	-91.99	0.42
12.90	-27.28	6.33	-91.76	1.76
12.29	-28.42	5.98	-100.77	3.46
11.60	-32.53	5.99	-96.34	2.69
8.77	-33.07	6.51	-85.41	2.07
0.63	-31.76	6.02	-78.26	2.66
-5.27	-27.74	5.06	-84.38	2.92
-3.12	-24.48	5.45	-100.98	2.97
3.31	-24.46	4.59	-111.96	3.37
7.82	-26.96	5.46	-112.75	3.00
7.95	-29.85	6.47	-105.99	3.04
1.96	-26.78	7.27	-100.11	2.69
-4.89	-24.83	7.37	-91.07	2.81
-8.00	-17.14	7.37	-83.63	2.53
-8.63	-18.08	7.37	-92.07	3.31
-6.99	-19.37	7.05	-95.50	3.30
-7.28	-17.25	6.38	-90.33	3.06
-10.22	-17.42	7.27	-93.84	3.11
-13.89	-19.22	8.52	-95.03	3.50
-17.66	-23.59	8.46	-96.87	3.27
-23.00	-19.88	8.23	-93.87	3.72
-23.32	-18.79	7.57	-92.42	3.48
-18.32	-9.04	6.83	-93.13	3.54
-18.30	-7.18	7.09	-87.19	2.25
-22.09	-7.44	7.80	-87.45	2.90
-27.70	-7.70	10.31	-91.61	2.55
-29.51	-5.98	12.26	-97.11	3.04
-27.95	-3.59	12.61	-88.33	2.18
-29.55	-3.07	13.02	-82.23	3.38
-34.83	-5.25	11.82	-78.87	3.07
-38.85	-2.51	11.29	-76.83	3.09
-37.41	-1.27	13.31	-70.30	1.28
-35.76	3.20	16.13	-66.78	2.02
-31.84	7.19	18.97	-69.18	2.51
-31.57	10.45	19.54	-67.56	1.91
-36.75	13.62	20.10	-63.47	1.91
-40.06	7.58	21.75	-55.65	1.71
-42.33	6.79	23.88	-51.82	0.71
-40.59	10.06	21.29	-46.95	0.56
-35.97	15.04	20.77	-38.51	1.44
-37.50	23.67	22.55	-33.40	1.07
-42.17	26.95	24.43	-34.55	1.22
-25.38	20.42	26.05	-34.57	0.41
-22.47	13.09	26.73	-30.08	-0.40
-23.82	13.60	25.11	-21.18	-0.15
-21.65	14.07	22.89	-10.98	-0.04
-18.80	23.44	21.56	-7.57	0.08
-17.99	27.97	22.69	-9.99	0.11
-19.93	27.75	25.66	-6.94	-0.59
-23.95	26.89	27.36	-0.23	-0.21
-29.84	26.18	27.97	4.48	-0.61
-32.96	20.33	26.56	11.83	-1.15
-27.45	22.96	24.33	15.30	-1.11
-25.04	24.71	25.47	16.22	-1.65
-26.29	27.91	23.69	23.71	-1.52
-24.91	26.07	22.13	31.00	-1.34
-26.11	24.89	22.42	30.41	-1.23
-28.83	25.55	25.29	32.47	-1.30
-30.33	26.18	26.71	34.51	-0.41
-28.42	23.00	24.74	39.87	-1.27
-32.35	20.62	22.94	43.46	-2.06
-31.20	21.52	23.37	49.08	-1.90
-28.47	22.81	22.93	48.58	-1.36
-24.91	24.17	21.80	53.56	-1.20
-25.66	22.64	19.79	53.07	-1.04
-28.34	19.90	19.76	55.25	-1.88
-30.70	16.22	22.41	52.61	-1.74
-34.50	14.96	23.59	59.09	-1.77
-32.66	17.88	20.84	63.89	-1.20
-31.59	18.37	20.00	64.47	-1.47
-25.22	21.51	18.56	66.06	-0.99
-25.36	18.53	19.55	66.44	-1.58
-27.91	21.94	20.17	65.91	-1.09
-35.18	21.03	21.37	63.97	-1.00
-34.80	14.01	19.38	66.85	-1.47
-26.13	9.60	17.50	67.28	-1.72
-21.14	9.60	14.70	62.86	-2.50
-24.61	11.27	12.67	61.30	-1.03
-32.57	15.06	12.69	59.78	-1.97
-34.40	12.63	16.13	61.93	-1.12
-27.58	14.51	15.03	63.69	-0.36
-19.93	10.13	15.11	64.55	-0.68
-19.33	4.79	13.08	62.96	-0.90
-21.62	3.94	9.97	59.67	-1.75
-28.52	8.76	11.34	54.13	-0.96
-30.78	8.18	11.58	52.30	-1.51
-25.65	6.62	12.28	50.70	-1.11
-23.66	3.28	8.50	48.36	-1.34
-23.16	0.54	6.91	45.36	-0.17
-18.95	-0.10	5.22	41.34	-0.09
-17.53	-0.10	8.34	36.87	-0.38
-15.48	-2.22	9.93	35.15	-0.77
-15.61	1.04	8.79	32.32	-0.31
-21.63	-0.73	7.87	29.62	-0.57
-22.15	-2.45	8.46	26.13	-0.37
-18.06	-1.77	7.00	20.35	-0.56
-14.71	2.31	8.59	16.55	-0.61
-9.03	3.38	7.66	13.47	-0.57
-9.73	2.57	9.50	13.98	-0.18
-15.59	-0.52	9.93	15.43	0.01
-18.43	-0.83	8.29	13.16	-0.50
-15.37	-1.11	10.65	9.12	-0.25
-18.07	-1.26	13.76	7.39	-0.31
-15.31	0.70	11.68	6.79	-0.03
-8.56	3.80	6.92	8.18	-0.12
-8.92	7.19	6.61	6.95	-0.76
-18.39	4.08	10.60	6.16	0.74
-15.08	-0.41	15.65	4.91	-0.31
-15.48	0.44	14.66	5.68	-0.66
-11.27	0.71	12.44	7.11	0.69
-11.98	2.29	7.91	2.75	-0.22
-16.12	4.65	11.43	1.28	0.43
-10.36	5.85	15.94	0.91	0.20
-6.44	6.21	20.17	0.97	-0.26
-10.71	8.59	21.80	0.59	-1.32
-14.57	9.53	14.97	0.34	-0.50
-14.40	7.39	10.45	-0.80	0.26
-9.15	8.32	15.83	-1.79	0.23
-7.46	10.84	18.32	-2.34	0.71
-8.03	10.08	22.98	-3.00	0.98
-13.18	9.41	22.08	-3.58	0.22
-9.54	9.02	22.58	-5.17	-0.35
-2.95	8.48	28.49	-4.36	0.29
-1.17	8.51	22.99	-3.38	0.28
-0.35	10.53	19.29	-3.30	0.00
-10.64	13.16	24.87	-4.83	-0.63
-7.96	13.02	22.80	-5.98	-0.28
-9.86	11.79	25.65	-6.73	0.32
-7.27	11.79	27.11	-6.76	1.31
-1.34	10.59	27.61	-6.64	0.76
1.82	11.94	24.55	-7.50	0.15
0.72	14.92	22.84	-8.70	-0.24
-2.14	17.14	20.87	-8.44	0.54
-8.58	15.27	28.08	-7.92	0.77
-15.33	13.85	37.67	-8.25	0.43
-4.33	6.62	34.55	-9.25	0.56
11.30	4.93	34.37	-10.02	0.48
16.04	4.07	35.50	-10.52	-0.44
14.14	5.02	30.85	-9.65	0.48
10.63	5.80	29.77	-9.02	0.54
2.78	6.85	28.46	-7.18	0.69
-2.74	6.80	39.77	-7.54	0.34
0.14	6.60	40.35	-8.60	0.19
6.00	6.91	38.51	-10.36	-0.60
6.74	6.22	36.19	-11.15	0.29
3.36	8.52	31.11	-11.34	0.79
1.45	9.48	28.18	-9.67	1.07
3.90	10.83	37.82	-8.29	0.95
12.07	12.62	43.45	-7.67	-0.79
14.96	13.40	34.60	-7.22	-0.48
12.14	11.98	-24.18	-6.94	-0.48
12.94	10.70	-111.17	-6.65	0.75
12.26	10.28	-167.17	-6.22	1.06
10.15	11.99	-163.64	-4.73	-0.03
10.95	13.99	-149.09	-4.50	-0.65
13.48	15.67	-110.55	-4.53	-0.29
18.74	17.72	-68.98	-4.94	-0.79
21.78	17.02	-64.90	-4.14	0.32
17.31	13.09	-97.13	-3.31	-0.04
13.63	13.95	-142.05	-2.56	-0.28
5.35	14.64	-162.58	-5.52	-0.06
4.78	15.86	-156.74	-5.57	-0.64
8.76	19.43	-139.56	-4.95	-0.43
18.81	19.63	-140.47	-4.50	0.41
25.90	21.74	-145.72	-4.40	-0.06
24.73	22.82	-159.73	-4.52	-0.66
19.56	24.04	-163.01	-4.15	-1.23
10.78	27.40	-160.04	-3.49	-0.67
8.93	31.92	-153.08	-3.20	-0.71
10.71	38.18	-144.43	-2.86	-1.24
17.57	39.58	-144.57	-2.83	-0.49
21.68	38.99	-141.97	-2.81	-0.66
17.69	33.95	-144.35	-2.40	-0.94
20.21	34.43	-136.68	-2.07	0.06
23.06	32.34	-135.12	-1.70	0.27
27.52	38.48	-133.92	-1.37	-0.04
21.74	46.07	-135.14	-1.07	-2.44
16.76	48.91	-133.77	-0.55	-2.22
13.69	49.79	-127.53	-0.29	-1.30
15.78	49.38	-117.35	0.29	-0.28
17.79	46.57	-116.61	0.47	-0.43
13.99	43.70	-121.81	0.35	-0.14
17.94	45.02	-113.73	0.52	-0.36
17.87	47.55	-102.78	0.83	-0.09
11.15	54.83	-92.01	0.85	-0.57
5.67	57.68	-92.88	1.81	-0.30
7.97	54.32	-88.09	2.59	-0.91
15.04	54.61	-94.33	2.89	-0.97
15.53	53.58	-84.76	3.04	-0.82
15.88	53.39	-67.09	3.00	-0.86
18.25	53.30	-58.27	3.40	-1.17
18.13	55.57	-48.57	3.36	-0.30
15.86	58.99	-44.67	3.24	-0.46
17.13	60.47	-41.20	3.45	-0.08
17.49	57.75	-37.86	3.98	-0.23
15.08	56.30	-37.80	4.81	1.46
16.05	54.34	-30.31	4.93	0.22
18.64	50.13	-16.93	4.81	-0.80
20.83	56.48	-10.83	4.98	-1.11
19.88	56.57	-3.80	5.20	0.33
20.25	54.94	8.92	5.48	0.36
21.59	52.75	9.92	6.47	0.76
17.60	52.81	15.81	6.53	-0.07
18.50	57.06	17.50	6.15	0.28
25.11	53.27	25.38	6.21	0.47
29.37	51.36	33.45	6.40	0.44
31.15	54.17	45.67	6.87	-0.30
31.65	54.57	48.87	7.15	0.71
30.11	54.95	54.47	6.95	1.61
27.34	50.26	53.41	6.93	1.02
22.08	49.49	56.85	7.33	0.20
21.91	44.84	60.34	8.98	-0.48
6.96	52.14	57.95	10.30	-0.08
7.35	49.58	68.20	10.68	-0.19
9.16	59.35	75.00	12.60	-0.15
9.60	56.26	79.88	13.36	0.63
9.00	51.87	83.90	13.64	1.79
7.88	45.99	81.98	14.28	1.13
8.14	45.35	83.74	14.60	1.07
8.66	47.19	85.43	15.00	0.55
11.10	43.68	89.03	15.99	1.01
13.35	49.94	92.01	17.43	0.62
12.06	50.97	91.56	18.55	0.67
12.68	51.73	94.99	17.65	-0.15
11.94	42.88	95.75	16.74	0.41
11.97	38.94	96.22	17.85	1.28
11.82	30.02	97.78	20.05	1.54
12.34	29.73	98.04	20.37	0.72
14.09	54.27	95.76	22.09	1.52
15.98	68.70	94.61	21.53	0.81
20.69	28.97	92.96	18.86	1.14
25.26	28.08	88.30	18.30	0.91
25.65	-17.66	83.18	17.09	0.95
22.94	-127.43	71.42	17.82	0.54
24.08	-249.83	56.05	22.49	1.07
29.38	-292.50	47.15	22.55	0.47
35.08	-215.38	45.51	21.62	0.93
41.36	-86.76	46.10	19.74	1.05
45.74	-45.75	46.37	17.84	0.73
43.07	-79.24	47.05	16.94	0.93
38.93	-151.10	44.05	17.99	1.11
36.95	-229.05	39.28	17.78	0.84
40.81	-237.87	37.71	18.33	0.37
48.42	-199.55	38.27	18.58	0.48
54.53	-164.97	39.84	18.00	0.53
54.57	-167.20	37.12	16.29	0.38
58.57	-196.15	35.28	17.64	0.30
58.43	-222.10	34.80	16.28	0.13
58.97	-228.38	30.02	15.50	0.93
54.62	-206.35	28.00	14.08	1.62
57.91	-189.82	27.02	12.11	0.19
61.53	-187.02	27.41	11.68	-0.83
69.05	-188.08	27.24	13.05	-0.41
71.83	-201.91	23.20	12.49	0.66
67.03	-206.82	18.99	11.49	0.37
63.41	-193.40	18.98	9.01	0.50
61.56	-191.36	19.33	8.38	0.15
66.72	-189.50	17.31	9.10	-0.03
73.05	-183.52	16.52	5.96	0.52
77.23	-179.20	14.11	5.12	0.41
80.36	-175.62	12.41	4.68	-0.06
75.38	-182.00	12.26	5.64	-0.54
77.74	-170.57	11.17	7.68	-0.34
74.17	-157.84	9.38	5.67	-0.21
78.72	-148.02	6.93	4.24	-0.03
67.02	-138.15	5.35	3.33	-0.45
65.38	-137.96	5.00	2.95	-0.56
111.56	-130.18	3.65	0.95	0.43
83.64	-119.36	3.46	-0.52	0.04
71.44	-111.74	2.86	0.36	-0.80
88.44	-100.65	1.23	-1.10	0.09
75.78	-92.84	0.83	-0.95	-0.54
101.44	-85.62	1.25	-1.32	-0.66
108.25	-76.92	-0.32	-2.45	-0.61
67.13	-63.83	-2.30	-4.26	0.11
92.97	-49.10	-2.78	-3.54	-0.75
63.53	-40.71	-2.41	-4.28	-0.95
57.22	-33.25	-1.97	-5.29	-0.94
55.54	-24.91	-3.50	-4.01	-0.90
104.33	-18.96	-4.26	-3.80	-0.52
103.02	-5.98	-5.13	-3.79	-0.55
46.77	8.46	-6.33	-4.61	0.73
46.64	19.59	-4.93	-5.15	-0.91
43.36	27.07	-4.13	-5.22	-0.69
-10.90	33.29	-4.67	-6.92	-0.79
-181.02	36.90	-3.53	-7.61	-1.26
-360.09	45.22	-3.34	-5.34	-0.71
-363.61	60.68	-2.77	-4.44	-0.59
-161.80	69.28	-2.92	-5.95	-0.71
-16.16	71.50	-3.60	-6.00	-0.61
-22.77	74.80	-6.28	-6.33	-0.55
-97.61	81.01	-5.04	-7.23	-1.34
-206.69	91.48	-2.04	-5.27	-1.45
-260.97	104.73	1.26	-6.43	-1.27
-252.36	113.69	2.30	-6.00	-1.19
-201.68	118.92	2.48	-7.02	-1.01
-178.99	119.12	5.00	-5.99	-1.33
-203.91	115.14	6.05	-6.68	-2.07
-224.65	115.93	4.56	-5.37	-1.21
-251.97	123.08	2.09	-3.25	-0.73
-247.96	131.10	2.28	-4.25	-0.73
-217.42	137.46	1.74	-4.09	-0.48
-203.57	141.44	1.37	-4.01	-0.85
-210.55	141.59	6.22	-3.54	-0.72
-216.68	141.36	9.80	-4.77	-1.32
-223.00	139.68	10.99	-3.90	-2.11
-209.27	137.67	9.30	-4.52	-1.49
-211.81	137.55	8.55	-3.35	-1.19
-214.71	139.37	8.46	-2.39	-0.26
-218.99	139.46	9.10	-3.36	-0.35
-199.56	137.19	11.01	-3.47	-0.33
-193.69	131.85	10.16	-1.55	-1.29
-181.15	121.90	10.03	-3.43	-1.41
-188.26	109.09	11.08	-1.82	-1.18
-187.94	99.32	12.50	-0.86	-0.57
-188.79	91.66	12.56	-0.86	-0.48
-174.56	87.04	13.05	1.46	-0.36
-157.91	84.71	16.11	3.11	-0.09
-146.21	80.89	16.35	1.91	0.47
-153.04	79.84	15.51	2.49	-0.57
-143.49	78.77	15.03	2.24	-0.44
-121.82	78.63	15.92	2.80	-0.30
-113.66	76.34	18.68	2.58	-0.11
-102.36	71.60	21.14	2.89	-0.06
-91.44	65.60	18.96	4.77	-0.24
-78.95	61.53	18.47	6.03	0.09
-68.27	57.68	18.09	4.88	-0.17
-54.90	54.48	21.63	4.73	0.11
-48.48	52.51	22.77	5.01	-0.11
-37.37	50.55	20.63	7.36	-0.62
-27.14	48.03	18.57	8.15	-0.44
-15.01	43.32	21.67	5.79	0.21
-7.59	37.90	21.05	8.02	0.21
2.05	33.63	22.55	7.40	0.88
15.86	29.84	19.67	5.35	0.57
26.29	26.50	19.43	7.78	0.03
36.86	21.40	23.37	8.65	0.00
51.90	16.13	21.16	8.12	0.26
60.72	11.87	20.86	7.89	0.57
70.06	7.19	23.98	7.49	-0.45
76.48	5.97	23.17	7.31	0.14
83.02	6.49	21.73	5.22	0.34
89.75	4.60	20.80	7.04	0.75
99.56	1.72	19.33	8.57	0.32
111.50	-3.78	18.81	7.41	0.25
118.44	-7.62	17.41	6.76	-0.05
127.18	-9.38	20.84	5.16	-0.19
135.45	-11.06	20.53	4.87	0.02
141.10	-14.80	19.00	6.03	0.14
146.02	-19.38	17.20	7.18	0.41
150.83	-21.10	16.90	7.18	-0.11
153.36	-20.92	17.33	5.69	-0.63
156.60	-20.58	17.92	3.80	0.21
161.01	-22.06	16.13	2.83	0.26
162.92	-25.07	14.81	3.54	-0.37
164.64	-28.19	13.57	6.31	-0.81
166.93	-29.63	13.98	3.93	-0.57
174.59	-27.89	15.95	1.77	-0.41
178.85	-27.95	13.64	1.75	-0.36
177.61	-31.05	10.51	2.24	-0.61
171.49	-31.98	10.41	1.43	-0.45
165.15	-32.15	11.60	3.69	-0.32
159.02	-32.12	11.38	4.37	-0.57
149.17	-32.01	13.05	1.50	-0.86
136.13	-32.41	9.09	-0.33	-0.65
130.77	-33.55	7.02	1.18	-1.07
127.94	-32.16	4.48	1.08	-0.94
126.12	-18.27	5.07	0.61	-0.90
121.84	-5.36	6.97	-1.17	-0.27
115.35	-5.54	9.56	-1.35	-0.27
111.35	-6.54	6.20	-0.50	-0.61
108.80	-5.90	4.71	-3.86	-1.47
105.95	-5.08	0.46	-3.99	-1.69
102.55	-4.40	0.30	-2.98	-1.64
100.29	-5.93	1.54	-3.63	-1.34
98.85	-7.65	3.11	-4.68	-1.33
96.29	-6.65	3.60	-3.08	-1.01
91.68	-6.69	0.30	-3.51	-1.54
85.33	-6.60	-6.96	-4.31	-1.83
78.67	-5.69	-7.90	-4.29	-1.63
74.69	-5.30	-2.96	-5.38	-1.93
74.61	-6.03	1.99	-3.84	-2.06
75.74	-4.27	3.70	-3.06	-1.50
70.25	-5.80	1.79	-5.05	-1.83
62.70	-6.29	-2.47	-8.34	-1.56
56.49	-8.61	-4.73	-7.26	-1.58
51.14	-7.21	-9.36	-5.66	-1.94
46.41	-5.36	-8.68	-5.20	-1.91
41.47	-4.60	-6.57	-4.88	-2.20
37.17	-3.71	-2.65	-3.92	-2.06
35.67	-3.45	-5.63	-3.08	-1.59
32.61	-3.95	-6.55	-4.31	-1.74
29.80	-2.96	-7.54	-8.11	-1.21
25.89	-4.91	-8.08	-7.01	-1.69
21.91	-5.23	-7.30	-8.57	-1.41
16.17	-3.27	-5.02	-6.83	-1.59
12.44	0.57	-3.50	-6.13	-1.70
8.62	5.09	-5.16	-3.58	-1.67
7.97	6.83	-8.33	-2.95	-1.02
6.17	5.27	-11.63	-3.82	-1.23
-1.65	4.09	-9.43	-3.24	-0.92
-8.38	9.85	-7.29	-4.78	-0.95
-8.55	12.86	-7.39	-5.07	-1.20
-8.29	14.05	-6.86	-5.68	-1.17
-10.31	12.70	-8.75	-5.30	-0.55
-11.85	12.62	-7.75	-4.09	-0.29
-14.02	14.40	-9.63	-3.36	-0.64
-16.28	13.44	-8.82	-4.29	-0.68
-18.61	15.28	-8.61	-5.65	-0.46
-25.44	15.39	-9.99	-6.26	-0.37
-24.59	14.78	-8.01	-5.26	-0.42
-23.73	17.04	-8.88	-2.13	-0.37
-24.03	19.02	-6.77	-2.31	-0.19
-30.34	21.13	-2.87	-3.41	-0.48
-32.98	22.16	-0.36	-4.35	-0.31
-27.92	22.14	-6.84	-4.35	-0.28
-27.61	22.17	-12.27	-3.88	-0.54
-26.52	19.75	-11.01	-2.72	-0.48
-24.88	24.35	-8.44	-2.03	-0.25
-31.92	22.41	-4.17	-0.05	-0.36
-34.64	21.29	-3.49	-0.03	-0.37
-34.39	18.66	-4.02	-0.42	-0.28
-32.52	23.34	-6.32	-3.73	-0.48
-31.39	22.84	-7.68	-3.49	-0.20
-31.65	20.59	-9.73	-3.12	-0.29
-26.95	22.03	-8.91	-2.85	-0.01
-29.33	21.48	-6.15	-2.81	-0.46
-32.15	18.87	-5.76	-0.20	-0.33
-29.03	19.29	-6.93	-0.70	-0.32
-28.04	19.84	-6.94	-0.59	-0.31
-28.84	19.35	-6.53	-2.69	-0.28
-25.40	21.01	-6.99	-4.28	-0.27
-20.87	20.48	-6.73	-3.78	-0.29
-23.27	18.92	-6.41	-2.44	-0.31
-22.46	16.42	-5.55	-0.45	-0.08
-20.72	13.18	-10.05	-1.53	-0.40
-19.34	15.56	-10.51	-1.66	-0.42
-17.47	14.78	-12.32	-2.24	-0.43
-13.62	10.71	-7.79	-2.58	-0.39
-9.06	10.88	-8.12	-1.66	-0.28
-5.74	11.96	-8.01	-1.00	-0.23
-9.79	12.37	-8.87	-0.30	-0.48
-14.94	10.57	-9.16	-0.22	-0.51
-14.20	4.78	-10.08	-0.45	-0.49
-5.82	-2.87	-7.48	-1.38	-0.49
-0.37	-4.84	-11.38	-2.98	-0.44
-2.72	4.76	-8.03	-3.57	-0.50
-2.34	7.30	-7.40	-2.67	-0.34
-6.71	5.01	-9.39	-3.08	-0.51
-4.18	1.17	-12.25	-3.86	-0.58
0.77	-0.45	-9.38	-3.33	-0.60
3.24	-5.28	-10.60	-2.62	-0.66
7.13	-6.51	-9.57	-2.70	-0.56
4.76	-3.00	-7.24	-2.19	-0.45
2.62	-4.00	-9.24	-1.97	-0.63
1.19	-5.13	-10.94	-2.52	-0.62
1.92	-6.67	-11.23	-3.09	-0.58
3.52	-7.70	-9.18	-4.45	-0.70
2.28	-8.82	-8.76	-5.31	-0.66
5.86	-12.75	-9.76	-4.75	-0.70
6.96	-11.28	-8.11	-3.50	-0.74
7.63	-12.93	-7.48	-2.91	-0.85
3.75	-14.73	-6.28	-3.32	-0.82
4.15	-16.41	-7.49	-4.85	-0.72
7.82	-16.09	-7.41	-5.60	-0.71
8.90	-14.29	-6.02	-6.51	-0.60
8.51	-17.52	-7.87	-6.52	-0.68
6.62	-20.43	-10.94	-6.58	-0.66
5.18	-22.81	-9.25	-7.80	-0.81
11.67	-25.65	-6.49	-6.11	-0.75
13.86	-24.59	-4.28	-4.71	-0.66
12.68	-18.18	-3.57	-5.62	-0.64
9.80	-15.51	-2.79	-5.08	-0.80
3.93	-20.18	-4.50	-4.79	-0.81
2.37	-26.40	-7.57	-1.12	-0.73
2.10	-29.37	-9.06	-1.23	-0.92
6.35	-28.35	-9.43	-1.64	-0.85
2.08	-25.40	-8.33	-2.32	-0.87
2.40	-20.65	-7.81	-2.36	-0.83
3.93	-18.90	-4.46	-2.10	-0.79
7.57	-26.34	-2.84	-1.90	-0.71
4.12	-29.88	-3.30	-2.07	-0.76
3.64	-28.71	-6.88	-2.70	-0.83
-0.87	-26.89	-7.78	-3.07	-0.81
-4.06	-25.70	-5.75	-2.73	-0.94
-5.88	-24.83	-3.65	-2.92	-1.00
-5.72	-25.07	-2.11	-2.85	-0.96
-7.68	-25.39	-2.53	-2.76	-0.94
-4.70	-22.09	-1.72	-3.38	-0.92
